destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,0
